mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	3.0	1/4	1/4	4/4	2	1	Db.bVI.I{	Db	bVI		I		I						{	M	0	0	0, 4, 1		0	0
2	2	4	4.0	0	0	4/4	2	1	III64	Db	bVI		III64		III		64					M	0	0	5, 4, 8		4	5
3	3	8	2.0	0	0	4/4	2	1	bVI	Db	bVI		bVI		bVI							M	0	0	-4, 0, -3		-4	-4
3	3	10	2.0	1/2	1/2	4/4	2	1	ii%65	Db	bVI		ii%65		ii	%	65					%7	0	0	-1, -4, 0, 2		2	-1
4	4	12	10.0	0	0	4/4	2	1	I|PC}	Db	bVI		I		I					PC	}	M	0	0	0, 4, 1		0	0
6	6	22	2.0	1/2	1/2	4/4	2	1	I.Ger6{	Db	I		Ger6	Ger	vii	o	65	b3	V		{	Ger	0	0	-4, 0, -3, 6		6	-4
7	7	24	6.0	0	0	4/4	2	1	V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	30	2.0	1/2	1/2	4/4	2	1	viio7/V	Db	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
9	9	32	4.0	0	0	4/4	2	1	V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
10	10	36	8.0	0	0	4/4	2	1	V7|HC}	Db	I		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
12	12	44	14.0	0	0	6/4	2	1	I{	Db	I		I		I						{	M	0	0	0, 4, 1		0	0
14	14	58	1.0	1/2	1/2	6/4	2	1	IV64	Db	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
14	14	59	3.0	3/4	3/4	6/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15	15	62	6.0	0	0	6/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
16	16	68	2.0	0	0	6/4	2	1	ii6(2)	Db	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
16	16	70	1.0	1/2	1/2	6/4	2	1	ii6	Db	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	16	71	3.0	3/4	3/4	6/4	2	1	V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	74	2.0	0	0	6/4	2	1	I(9)	Db	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
17	17	76	6.0	1/2	1/2	6/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
18	18	82	1.0	1/2	1/2	6/4	2	1	IV64	Db	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
18	18	83	3.0	3/4	3/4	6/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
19	19	86	5.0	0	0	6/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
19	19	91	1.0	5/4	5/4	6/4	2	1	iii.It6	Db	iii		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
20	20	92	3.0	0	0	6/4	2	1	V(64)	Db	iii		V(64)		V			64				M	0	1	1, 0, -3		1	1
20	20	95	2.0	3/4	3/4	6/4	2	1	#viio7(4)	Db	iii		#viio7(4)		#vii	o	7	4				o7	0	1	5, -3, -1, -4		5	5
20	20	97	1.0	5/4	5/4	6/4	2	1	#viio7	Db	iii		#viio7		#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
21	21	98	2.0	0	0	6/4	2	1	V(134)	Db	iii		V(134)		V			134				M	0	1	1, 0, 2	-3	1	1
21	21	100	2.0	1/2	1/2	6/4	2	1	V(64)	Db	iii		V(64)		V			64				M	0	1	1, 0, -3		1	1
21	21	102	5.0	1	1	6/4	2	1	viio7/V	Db	iii		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
22	22	107	2.0	3/4	3/4	6/4	2	1	V7(96)	Db	iii		V7(96)		V		7	96				Mm7	0	1	1, 5, -3, -1	-4	1	1
22	22	109	1.0	5/4	5/4	6/4	2	1	V7(9)	Db	iii		V7(9)		V		7	9				Mm7	0	1	1, 5, 2, -1	-4	1	1
23	23	110	2.0	0	0	6/4	2	1	i(9)	Db	iii		i(9)		i			9				m	0	1	0, -3, 1	2	0	0
23	23	112	4.0	1/2	1/2	6/4	2	1	i|PAC}	Db	iii		i		i					PAC	}	m	0	1	0, -3, 1		0	0
24	24	116	6.0	0	0	6/4	2	1	ii.V65{	Db	ii		V65		V		65				{	Mm7	0	1	5, 2, -1, 1		1	5
25	25	122	2.0	0	0	6/4	2	1	i(4)	Db	ii		i(4)		i			4				m	0	1	0, -1, 1		0	0
25	25	124	1.0	1/2	1/2	6/4	2	1	i	Db	ii		i		i							m	0	1	0, -3, 1		0	0
25	25	125	3.0	3/4	3/4	6/4	2	1	i6	Db	ii		i6		i		6					m	0	1	-3, 1, 0		0	-3
26	26	128	3.0	0	0	6/4	2	1	ii%65	Db	ii		ii%65		ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
26	26	131	2.0	3/4	3/4	6/4	2	1	V7(9)	Db	ii		V7(9)		V		7	9				Mm7	0	1	1, 5, 2, -1	-4	1	1
26	26	133	1.0	5/4	5/4	6/4	2	1	V7	Db	ii		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
