mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1/2	0.5	1/8	1/8	6/8	4	1	1/8		1/8	1		7	37	C#2	2	0
1	1	1	0.5	1/4	1/4	6/8	4	1	1/8		1/8	1		7	49	C#3	3	1
1	1	3/2	0.5	3/8	3/8	6/8	4	1	1/8		1/8	1		4	40	E2	2	2
1	1	3/2	1.5	3/8	3/8	6/8	4	2	3/8		1/4	3/2		4	40	E2	2	5
1	1	2	0.5	1/2	1/2	6/8	4	1	1/8		1/8	1		7	37	C#2	2	3
1	1	5/2	0.5	5/8	5/8	6/8	4	1	1/8		1/8	1		7	49	C#3	3	4
2	2	3	0.5	0	0	6/8	4	1	1/8		1/8	1		4	40	E2	2	10
2	2	7/2	0.5	1/8	1/8	6/8	4	1	1/8		1/8	1		7	37	C#2	2	11
2	2	4	0.5	1/4	1/4	6/8	4	1	1/8		1/8	1		7	49	C#3	3	12
2	2	9/2	0.5	3/8	3/8	6/8	4	1	1/8		1/8	1		4	40	E2	2	13
2	2	5	0.5	1/2	1/2	6/8	4	1	1/8		1/8	1		7	37	C#2	2	14
2	2	5	0.25	1/2	1/2	6/8	3	1	1/16		1/16	1		4	52	E3	3	6
2	2	21/4	0.25	9/16	9/16	6/8	3	1	1/16		1/16	1		3	57	A3	3	7
2	2	11/2	0.5	5/8	5/8	6/8	4	1	1/8		1/8	1		7	49	C#3	3	15
2	2	11/2	0.25	5/8	5/8	6/8	3	1	1/16		1/16	1		4	64	E4	4	8
2	2	23/4	0.25	11/16	11/16	6/8	3	1	1/16		1/16	1		3	57	A3	3	9
3	3	6	0.5	0	0	6/8	4	1	1/8		1/8	1		4	40	E2	2	28
3	3	6	0.25	0	0	6/8	3	1	1/16		1/16	1		7	61	C#4	4	16
3	3	25/4	0.25	1/16	1/16	6/8	3	1	1/16		1/16	1		3	69	A4	4	17
3	3	13/2	0.5	1/8	1/8	6/8	4	1	1/8		1/8	1		7	37	C#2	2	29
3	3	13/2	0.25	1/8	1/8	6/8	3	1	1/16		1/16	1		4	64	E4	4	18
3	3	27/4	0.25	3/16	3/16	6/8	3	1	1/16		1/16	1		3	69	A4	4	19
3	3	7	0.5	1/4	1/4	6/8	4	1	1/8		1/8	1		7	49	C#3	3	30
3	3	7	0.25	1/4	1/4	6/8	3	1	1/16		1/16	1		4	76	E5	5	20
3	3	29/4	0.25	5/16	5/16	6/8	3	1	1/16		1/16	1		3	69	A4	4	21
3	3	15/2	0.5	3/8	3/8	6/8	4	1	1/8		1/8	1		4	40	E2	2	31
3	3	15/2	0.25	3/8	3/8	6/8	3	1	1/16		1/16	1		7	73	C#5	5	22
3	3	31/4	0.25	7/16	7/16	6/8	3	1	1/16		1/16	1		3	81	A5	5	23
